,query,intent,,
74,Was the recent payment successful?,transaction_query,,
75,Fraud hit my acc! ID fix plz dat $$!,fraud_report,,
76,lemme get that balance info pls n thx,balance_inquiry,,
77,Who?? the business that took my payment last?,transaction_query,,
78,Could you confirm my eligibility for a holiday bonus loan?,loan_inquiry,,
79,"hey, how da credit card appli goin?",credi_card_application,,
80,"finally got locked out, reset pw please",password_reset,,
81,Loan time: how do I get ma appl done?,loan_inquiry,,
82,payment got rejcted??ny reason?,transaction_query,,
83,checks i didn?? send are bouncin??cc?? a mess!!,fraud_report,,
84,"What was the time for my last transaction, you know?",transaction_query,,
85,i never signed 4 dis,fraud_report,,
86,checks made out to ??ash???? didn?? write those!!,fraud_report,,
87,What?? the store name from my latest payment?,transaction_query,,
88,Could you let me know if I am eligible for an equipment lease?,loan_inquiry,,
89,What?? the business name from my last transaction?,transaction_query,,
90,"forgot password again, need assist",password_reset,,
91,"yo, what's the proper way 2 apply for a credit card?",credi_card_application,,
92,got any home mortgage programs?,loan_inquiry,,
93,is there a mobile cc app?,credi_card_application,,
94,"random tech guy asked me to share screen, freaky",fraud_report,,
95,I am interested in your loan offerings and would like to know the application process.,loan_inquiry,,
96,"hey, change my pass ty",password_reset,,
97,"My money?? been stolen, pls investigate!",fraud_report,,
98,What is the turnaround time after submitting a loan application?,loan_inquiry,,
99,rep on LinkedIn asked for vpN access,fraud_report,,
100,What is the procedure to apply for a second mortgage?,loan_inquiry,,
101,Can you provide a step-by-step guide on the loan application process?,loan_inquiry,,
102,I seek confirmation of my savings account?? current balance.,balance_inquiry,,
103,dis not how i spend,fraud_report,,
104,Could you inform me of the progress of my loan request?,loan_inquiry,,
105,atm session timed out but charged,fraud_report,,
106,my kid changed my pass??ls reset!!,password_reset,,
107,my pass is ??assword??€?ls reset lol,password_reset,,
108,whats loan sitch?,loan_inquiry,,
109,"suspicious email ??T@company,??attachments",fraud_report,,
110,do i qualifi 4 a loan?,loan_inquiry,,
111,3 transacs back 2 back? nah,fraud_report,,
112,my life savings??ONE!! FRAUD!!,fraud_report,,
113,"That last trans went through, right?",transaction_query,,
114,nah bruh sum ain?? right,fraud_report,,
115,Could you verify whether I qualify for an adjustable-rate mortgage product?,loan_inquiry,,
116,I?? appreciate an update on my loan application status.,loan_inquiry,,
117,How do I apply for a working capital loan for my business?,loan_inquiry,,
118,I would like to request assistance in resetting my online banking password.,password_reset,,
119,i didnt authorize atm trx,fraud_report,,
120,last charge??id i donate to aliens??,transaction_query,,
121,borrow status pls,loan_inquiry,,
122,last charge pls i?? losin sleep,transaction_query,,
123,Could you confirm whether I qualify for vendor financing?,loan_inquiry,,
124,Can we get a copy of the front and back of that check?,fraud_report,,
125,I got cheated! Plz refund my money.,fraud_report,,
126,Can you detail the distinct loan categories you support?,loan_inquiry,,
127,"Ur cash svc fail, fix cash refund NOW.",fraud_report,,
128,How may I submit an application for a franchise financing package?,loan_inquiry,,
129,pls reset pass???? in a time crunch!!,password_reset,,
130,charge from ??DK INC??€?HAT IS THAT,transaction_query,,
131,done with this??ust reset my passwrd!!,password_reset,,
132,Are there any co-signer requirements for certain loans?,loan_inquiry,,
133,Would you be so kind as to verify if I have the qualifications needed to secure a loan?,loan_inquiry,,
134,what loan kinda stuff?,loan_inquiry,,
135,what?? the word on my loan?,loan_inquiry,,
136,"loan offerings, pls list",loan_inquiry,,
137,my card?? linked to a scam site??ls block,fraud_report,,
138,So tired of these shady transactions.,fraud_report,,
139,reset my login credentials plz,password_reset,,
140,"hi, i need to update my login pass",password_reset,,
141,wait wut is dis transac??,fraud_report,,
142,"The last payment, that a yes or no?",transaction_query,,
143,this sum next level fraud,fraud_report,,
144,instructions for reset pwd plz,password_reset,,
145,what?? that charge from ??OPSIE LLC??transaction_query,,,
146,Can you tell me the time of my last transaction?,transaction_query,,
147,"got email with zip file ??lease review,??sketch",fraud_report,,
148,"yelled at me for ??iolating rules,??then asked CC",fraud_report,,
149,i think they clone my card ??,fraud_report,,
150,balance,balance_inquiry,,
151,I can?? deal with this right now. Just reverse it.,fraud_report,,
152,any update on ma loan app progress dun?,loan_inquiry,,
153,how they get my info??,fraud_report,,
154,"Got tricked outta my money, need it back now.",fraud_report,,
155,"hey, need to know if u need more docs",loan_inquiry,,
156,what?? needed 2 apply 4 ur platinum card?,credi_card_application,,
157,I??e been conned; plz help ASAP!,fraud_report,,
158,bro my acnt?? busted,fraud_report,,
159,I?? done being polite??AVINGS BALANCE RIGHT NOW!,balance_inquiry,,
160,Did the last transaction work properly?,transaction_query,,
161,May I ask you to confirm my eligibility for a loan under your institution's guidelines?,loan_inquiry,,
162,"Last one go thru, or no?",transaction_query,,
163,can i grab a payday alt loan?,loan_inquiry,,
164,do i meet credit line quals?,loan_inquiry,,
165,How d I lace up my loan appl application?,loan_inquiry,,
166,Kindly furnish the balance for my savings account.,balance_inquiry,,
167,Could you verify my eligibility for a business loan?,loan_inquiry,,
168,"A check from my account bounced, but I didn?? write it.",fraud_report,,
169,transac deets NOW OR I??L SCREAM,transaction_query,,
170,acct req to apply?,loan_inquiry,,
171,can i use app to apply?,loan_inquiry,,
172,"hey, what?? ma loan app status all about?",loan_inquiry,,
173,how do i go about applying for cc?,credi_card_application,,
174,That last one work out smooth?,transaction_query,,
175,gave my info to a fake site??cc?? hacked!!,fraud_report,,
176,I?? about to combust??AVINGS BALANCE THIS SECOND!,balance_inquiry,,
177,Was the previous transaction successful?,transaction_query,,
178,am i good to borrow money?,loan_inquiry,,
179,I'd appreciate a status check on my loan application.,loan_inquiry,,
180,Wot loans exist w/ u?,loan_inquiry,,
181,"Yo, did that last one work, or what?",transaction_query,,
182,how come my dough got denied?,transaction_query,,
183,my trust broken rn,fraud_report,,
184,"help, how do i go about applying for a credit card?",credi_card_application,,
185,my check was washed??ayee & amount changed!!,fraud_report,,
186,"how do i put in a credit card appl, any pointers?",credi_card_application,,
187,"hey, what loan deals u got?",loan_inquiry,,
188,When did I make my last payment?,transaction_query,,
189,how to upload loan docs?,loan_inquiry,,
190,Did the last one process without an issue?,transaction_query,,
191,do i pass ur loan checks?,loan_inquiry,,
192,my acc?? on bogus checks??top cashin em!!,fraud_report,,
193,balance inquiry??ook me up pls,balance_inquiry,,
194,am i eligble for trip financing?,loan_inquiry,,
195,I am seeking confirmation on whether I meet your standards for loan approval.,loan_inquiry,,
196,how to fix neg bal?,fraud_report,,
197,how much is present in my acc thx,balance_inquiry,,
198,Do u giv housing loans?,loan_inquiry,,
199,Can u giv loan list?,loan_inquiry,,
200,Can you provide clarity on the steps to take when applying for a loan?,loan_inquiry,,
201,unauthorized check deposit??idn?? approve this!!,fraud_report,,
202,why?? my bankroll failin?,transaction_query,,
203,real sus no joke,fraud_report,,
204,I would be grateful for help resetting my online banking password.,password_reset,,
205,atm fee but no cash,fraud_report,,
206,Who processed my last transaction?,transaction_query,,
207,I just saw a charge I don?? recognize. Can you help me report it?,fraud_report,,
208,atm retuned wrong note,fraud_report,,
209,what?? ur loan selection?,loan_inquiry,,
210,do i bring da loan potential?,loan_inquiry,,
211,fraud fraud fraud!!!,fraud_report,,
212,when?? loan committee meetin?,loan_inquiry,,
213,What was the time and date of my last purchase?,transaction_query,,
214,A check was deposited to another account from mine.,fraud_report,,
215,Did the recent payment go through successfully?,transaction_query,,
216,loan docs ok?,loan_inquiry,,
217,I?? seeing red??OW MUCH IS IN MY SAVINGS?!,balance_inquiry,,
218,recent buy? facepalm WHAT WAS IT,transaction_query,,
219,this guy tryna trick me into giving my passcode,fraud_report,,
220,pass changed but cant login again,password_reset,,
221,"Yo, when did my last payment go through?",transaction_query,,
222,Need help with loan apply??ow do I get it rollin?,loan_inquiry,,
223,how to apply 4 auto loan?,loan_inquiry,,
224,can u update me on how to apply 4 a credit card?,credi_card_application,,
225,password reset needed ASAP.,password_reset,,
226,help me change password quick,password_reset,,
227,CHARGES FROM ITALY?? I?? IN TEXAS??LOCK MY CARD BEFORE I?? BROKE!!,fraud_report,,
228,pls resend ccard apply link,credi_card_application,,
229,got phishing SMS from ??yBankSupport??fraud_report,,,
230,Please share the requirements and process for an auto loan application.,loan_inquiry,,
231,dis store not even real,fraud_report,,
232,Please inform me if my loan application is complete or incomplete.,loan_inquiry,,
233,Did someone use my card? This place looks unfamiliar.,fraud_report,,
234,recent spend? checks bank OH GOD,transaction_query,,
235,"wtf is remotehelp.exe, they told me to install it",fraud_report,,
236,my acc?? actin weird??raud maybe??,fraud_report,,
237,Would you kindly check my records and inform me if I qualify for a loan?,loan_inquiry,,
238,fraudster?? takin $$$ from savings??top ??m!!,fraud_report,,
239,"Loans info, plzz.",loan_inquiry,,
240,Did the most recent transaction complete successfully?,transaction_query,,
241,Can you confirm whether my application is eligible for loan processing?,loan_inquiry,,
242,"yo this not me, this charge look fake",fraud_report,,
243,Last one go smooth or nah?,transaction_query,,
244,"$800 TO ""PREMIUM FRAUD""? I?? SELLING MY KIDNEY??EVERSE THIS OR I??L SUE!!",fraud_report,,
245,yo fix this pls asap,fraud_report,,
246,I need to reset my password due to multiple failed login attempts.,password_reset,,
247,I believe this check was altered before posting.,fraud_report,,
248,"yo, any word from da bank on my loan app?",loan_inquiry,,
249,why?? my latest payment not processin?,transaction_query,,
250,someone?? usin my name for loans??ls help,fraud_report,,
251,"Got a random call ??S Support??sayin my comp?? infected, is that real?",fraud_report,,
252,Please advise on your credit limit offerings.,loan_inquiry,,
253,my credit score dropped??dentity theft??,fraud_report,,
254,yo someone usin my creds,fraud_report,,
255,I am writing to inquire about the current status of my loan application.,loan_inquiry,,
256,What vendor handled my last payment?,transaction_query,,
257,I saw a check withdrawal from an unknown ATM.,fraud_report,,
258,How d I kickstart dat loan application?,loan_inquiry,,
259,how come my payment bounced? idk what?? up,transaction_query,,
260,Can you clarify whether my credentials meet the eligibility requirements for a loan?,loan_inquiry,,
261,What business processed my most recent spend?,transaction_query,,
262,what?? the issue with my transac?,transaction_query,,
263,Can you share any recent updates regarding the status of my loan application?,loan_inquiry,,
264,I would like to inquire about the best method to apply for a credit card at your institution.,credi_card_application,,
265,R ur loans simple?,loan_inquiry,,
266,I am writing to ask if I satisfy the requirements needed to secure a loan.,loan_inquiry,,
267,"Heyy, can u tell me ur loans?",loan_inquiry,,
268,Has there been any movement on my loan application?,loan_inquiry,,
269,I?? like to schedule a call to discuss your loan services.,loan_inquiry,,
270,Gimme da 411 on how 2 apply 4 a loan.,loan_inquiry,,
271,This feels like a scam.,fraud_report,,
272,sql error keep rejecting my pw lol,password_reset,,
273,yall let this happen?!,fraud_report,,
274,Can I get the details for the latest charge?? merchant?,transaction_query,,
275,Lemme kno loans fitting needs?,loan_inquiry,,
276,loan varities? plz list,loan_inquiry,,
277,Please let me know how long the credit card approval process typically takes.,credi_card_application,,
278,The last place I spent money at was??,transaction_query,,
279,Is my loan application still under evaluation?,loan_inquiry,,
280,my recent buy deets NAO,transaction_query,,
281,I would like to understand your fraud-prevention checks during onboarding.,credi_card_application,,
282,"hey, where my loan app at? any progress?",loan_inquiry,,
283,Wot r ur loan schemes now?,loan_inquiry,,
284,What are the interest rates on your different loans?,loan_inquiry,,
285,Fraudulent $$$ leakage fix ASAP repair!,fraud_report,,
286,What r ur loan packages?,loan_inquiry,,
287,help me track dis,fraud_report,,
288,I?? losing my mind??AVINGS BALANCE IMMEDIATELY!,balance_inquiry,,
289,"phone says ??our PC is compromised,??hung up",fraud_report,,
290,Could you help me understand if my financial experience qualifies me for a loan?,loan_inquiry,,
291,refund 99.99 plz thx,fraud_report,,
292,Was the last transaction all good or no?,transaction_query,,
293,I would appreciate information regarding the requirements to apply for a loan.,loan_inquiry,,
294,investigate this fraud RN!!,fraud_report,,
295,What was the date and time of the last payment I made?,transaction_query,,
296,check my latest spend pls hurry,transaction_query,,
297,Would you be able to provide an analysis of my eligibility for a loan from your bank?,loan_inquiry,,
298,that 50 gone but i ain't do nothin,fraud_report,,
299,any pre-qual update on loan?,loan_inquiry,,
300,someone?? takin loans in my name??ELP!!,fraud_report,,
301,What vendor handled my most recent payment?,transaction_query,,
302,What?? the store tied to my last spend?,transaction_query,,
303,I would like to receive confirmation on the status of my loan application.,loan_inquiry,,
304,last charge??m i getting scammed,transaction_query,,
305,Can you outline your business expansion loan options?,loan_inquiry,,
306,Did the most recent transaction finalize without any trouble?,transaction_query,,
307,DID I BUY A PLANET TICKET WHAT,transaction_query,,
308,What kind of security y??ll even got?!,fraud_report,,
309,I?? shaking??HAT?? MY SAVINGS SITUATION RIGHT NOW?,balance_inquiry,,
310,why?? there a check from ??ystery Co??in my acc??,fraud_report,,
311,"??e detected unusual activity??msg on PC, no idea",fraud_report,,
312,Please provide clear guidelines on the loan application process.,loan_inquiry,,
313,why?? my phone number changed on file??,fraud_report,,
314,Who?? the merchant tied to my latest account activity?,transaction_query,,
315,how do i get a loan?,loan_inquiry,,
316,"can?? submit cc app, fix pls",credi_card_application,,
317,nah nah i nevr go there,fraud_report,,
318,wuts dis brand lol,fraud_report,,
319,I am locked out of my account; please provide a reset link.,password_reset,,
320,"$900 AT ""DESIGNER BAGS""? I USE GROCERY TOTES??RAUD ALERT!!!",fraud_report,,
321,card said no. why?,transaction_query,,
322,"lost track, acct red",fraud_report,,
323,can i borrow against my home?,loan_inquiry,,
324,can i drop app at atm?,credi_card_application,,
325,What?? the name of the company I paid last?,transaction_query,,
326,what?? my last stupid purchase,transaction_query,,
327,last payment deets PLS IM DYIN,transaction_query,,
328,Loan apply??ow's dat done?,loan_inquiry,,
329,cc approval status?,credi_card_application,,
330,what credit limit can i ask 4?,credi_card_application,,
331,how do i apply 4 refinancing?,loan_inquiry,,
332,wut?? the wait time 4 cc app?,credi_card_application,,
333,Disputing this NOW. Handle it.,fraud_report,,
334,how do i drop off loan docs?,loan_inquiry,,
335,Did the last transaction occur without issues?,transaction_query,,
336,my card?? gettin drained by unknown subs!!,fraud_report,,
337,Is there any way to reverse a fraudulent payment?,fraud_report,,
338,Tell loans u hav.,loan_inquiry,,
339,"used old atm, got scammed",fraud_report,,
340,somebody skimmed my atm card,fraud_report,,
341,Was the transaction finalized successfully?,transaction_query,,
342,wanna apply loan??ow?,loan_inquiry,,
343,What information is required to complete a business loan application?,loan_inquiry,,
344,What agricultural loan programs are available?,loan_inquiry,,
345,100checkturnedinto1k??heck washin!!,fraud_report,,
346,"hey, any info on where my loan app?? sittin??",loan_inquiry,,
347,I found an odd check payment in my transaction log.,fraud_report,,
348,Can you send me specifics on your lending programs?,loan_inquiry,,
349,"hey, is my loan thru?",loan_inquiry,,
350,I?? THIS close to screaming??AVINGS BALANCE!,balance_inquiry,,
351,need my $ amount??pls n thx u,balance_inquiry,,
352,Please share the steps for applying for a student refinance loan.,loan_inquiry,,
353,Can I see who got the money from my last transaction?,transaction_query,,
354,"let me know what to do to get a credit card, appl style.",credi_card_application,,
355,This is taking YEARS??AVINGS BALANCE NOW!,balance_inquiry,,
356,balance on my checking? too lazy 2 log in,balance_inquiry,,
357,traveling and can?? login??eset pass!!,password_reset,,
358,need to stop dis thief,fraud_report,,
359,Where is my protection? This is messed up.,fraud_report,,
360,Lemme kno ur loans plz.,loan_inquiry,,
361,Any way 2 easy apply 4 a loan?,loan_inquiry,,
362,spend bounced. why?,transaction_query,,
363,I gt ripped??efund $$ right away.,fraud_report,,
364,"after atm, acct low as hell",fraud_report,,
365,May I check if I satisfy the requirements for an unsecured personal loan?,loan_inquiry,,
366,do i have right profile 4 auto loan?,loan_inquiry,,
367,new payees added??IDN?? DO IT!!,fraud_report,,
368,Would you please let me know if my financial background qualifies me for a loan?,loan_inquiry,,
369,can?? pay bills cuz fraud overdraft!!,fraud_report,,
370,think i hit all da marks 4 a loan?,loan_inquiry,,
371,"WHY?? THERE A $600 CHARGE TO ""THEFT CO""? I?? CALLING MY LAWYER??IX IT!!",fraud_report,,
372,Can you tell me the exact time and date of my last trans?,transaction_query,,
373,how much in my acc? shrugs,balance_inquiry,,
374,What is the progress of the loan application I submitted?,loan_inquiry,,
375,I require the savings account balance for review.,balance_inquiry,,
376,I got popup sayin ??ALL NOW for support??€?cam?,fraud_report,,
377,fr who da hell did dis,fraud_report,,
378,Can you provide information on your loan categories?,loan_inquiry,,
379,I would like to understand the formal steps required for credit card application submission.,credi_card_application,,
380,Loan varieties info sent pls.,loan_inquiry,,
381,yo my card?? goin wild??raud!!,fraud_report,,
382,checks with my acc number but wrong name??raud!!,fraud_report,,
383,I require assistance with the application process; how do I proceed to apply for a loan?,loan_inquiry,,
384,May I know whether I fulfill the eligibility criteria for a loan with your institution?,loan_inquiry,,
385,Was that last payment successful?,transaction_query,,
386,"$1,500 TO ""FRAUD KINGS""? I?? CALLING THE POLICE IF YOU DON?? FIX THIS!!",fraud_report,,
387,Lost my $$ to a scam. Need it bk now!,fraud_report,,
388,can i get auto loan based on my score?,loan_inquiry,,
389,maybe hacked or sumthin?,fraud_report,,
390,Could you guide me through the procedure for submitting a loan application?,loan_inquiry,,
391,don?? kno dis company,fraud_report,,
392,is underwriting done 4 my cc yet?,credi_card_application,,
393,nah that aint me trust,fraud_report,,
394,"CHARGES TO ""FRAUD KINGDOM""? I CAN?? PAY MY BILLS??IX THIS OR ELSE!!",fraud_report,,
395,weird charges comin thru,fraud_report,,
396,"Yo, did that last payment work or not?",transaction_query,,
397,"hey, how?? ma loan app comin along?",loan_inquiry,,
398,Kindly provide the link and instructions for password reset.,password_reset,,
399,Last trans... did it go or not?,transaction_query,,
400,how come my bucks got declin?,transaction_query,,
401,ugh what?? my balance? i?? too lazy to look,balance_inquiry,,
402,wut?? up with my finance application?,loan_inquiry,,
403,Was the last payment processed without issues?,transaction_query,,
404,"help, i need info on credit card application process",credi_card_application,,
405,"yo, what docs do i need 4 a credit card appl?",credi_card_application,,
406,credit card app??ow do i do it?,credi_card_application,,
407,What documents are needed for a credit builder loan?,loan_inquiry,,
408,May I receive detailed instructions on how to complete a credit card application form?,credi_card_application,,
409,loan app by fax? how?,loan_inquiry,,
410,Could you assist me in determining if I qualify for your loan products?,loan_inquiry,,
411,What was the time of my last transaction?,transaction_query,,
412,Please advise on the steps to apply for equipment financing.,loan_inquiry,,
413,Was the last payment made successfully?,transaction_query,,
414,"yo, is ma loan app processed yet?",loan_inquiry,,
415,What?? the company tied to my latest purchase?,transaction_query,,
416,transacshun history??AST ONE PLS,transaction_query,,
417,I would like to know if my loan application decision is pending or final.,loan_inquiry,,
418,Can I get the merchant details for my last charge?,transaction_query,,
419,"That last pay, did it go thru alright?",transaction_query,,
420,I need to reset my password for security reasons; please assist.,password_reset,,
421,Could you please outline the procedure to apply for one of your credit cards?,credi_card_application,,
422,someone?? usin my card in Germany??lock it!,fraud_report,,
423,last charge??ell me it?? a mistake,transaction_query,,
424,transac deets RN??O TIME 2 WASTE,transaction_query,,
425,Please advise if my loan application has reached a decision.,loan_inquiry,,
426,how to fill out loan app?,loan_inquiry,,
427,There?? a check payment from a closed vendor.,fraud_report,,
428,I request a password reset for my online banking profile.,password_reset,,
429,Was that last payment completed or stuck?,transaction_query,,
430,which loans u offer?,loan_inquiry,,
431,atm charged me for 3 trx i didnt do,fraud_report,,
432,monies status: ??? halp,balance_inquiry,,
433,I can no longer access my account; please reset my password.,password_reset,,
434,Please advise whether proof of address is required for my credit card application.,credi_card_application,,
435,What?? the store tied to my most recent account activity?,transaction_query,,
436,acc balance pls! taps foot impatiently,balance_inquiry,,
437,Could you notify me of the present stage of my loan application in your system?,loan_inquiry,,
438,can u text me the credit card appl steps?,credi_card_application,,
439,want to waive fee,fraud_report,,
440,Did the most recent transaction proceed without any problems?,transaction_query,,
441,my spend?? mia??hat?? the deal?,transaction_query,,
442,Would you verify whether I satisfy the criteria for a receivables-financing program?,loan_inquiry,,
443,Could you tell me the payee for my last spend?,transaction_query,,
444,Did the last transaction go as planned?,transaction_query,,
445,saw withdrawals i never made at atm,fraud_report,,
446,Please advise if my credentials meet the necessary requirements for a loan.,loan_inquiry,,
447,Did the last one process properly?,transaction_query,,
448,So who?? watching the account if not y??ll??,fraud_report,,
449,May I inquire if I qualify for export credit agency financing?,loan_inquiry,,
450,transac denied??hy?? it do that?,transaction_query,,
451,"$2,000 TO ""ROBBERY INC""? I?? POSTING THIS ON SOCIAL MEDIA??ANCEL IT NOW!!",fraud_report,,
452,Could you update me on the progress made on my loan application?,loan_inquiry,,
453,What's da process 2 get a loan?,loan_inquiry,,
454,"Yo, what?? the time and date of my last trans?",transaction_query,,
455,Could you provide clarity on the process and requirements for a credit card application?,credi_card_application,,
456,Please provide a comprehensive overview of how to submit a loan application.,loan_inquiry,,
457,pls reset???? bad at technology,password_reset,,
458,"WHY?? MY CARD CHARGED $600 FOR ""DREAM VACATIONS""? I HAVEN?? LEFT MY HOUSE!!",fraud_report,,
459,Please tell me about your bridging finance terms.,loan_inquiry,,
460,whats the link 2 apply?,loan_inquiry,,
461,Loan application process??ny idea how to start?,loan_inquiry,,
462,What is the procedure for applying for a vacation loan?,loan_inquiry,,
463,can i apply over phone 4 cc?,credi_card_application,,
464,can someone reset my password ty,password_reset,,
465,can i apply for premium cc?,credi_card_application,,
466,Has my loan application been approved yet?,loan_inquiry,,
467,refund da whole thing,fraud_report,,
468,Could you inform me if my loan application has been finalized?,loan_inquiry,,
469,How do I request a loan application package by mail?,loan_inquiry,,
470,why?? my $$$ gettin the cold shoulder?,transaction_query,,
471,Please describe your community development loans.,loan_inquiry,,
472,I?? not patient??AVINGS BALANCE THIS INSTANT!,balance_inquiry,,
473,"password stuck, wanna change it",password_reset,,
474,Was the last transaction successful without any problems?,transaction_query,,
475,Please furnish me with the instructions for a successful credit card application.,credi_card_application,,
476,pls block my card??harges i didn?? approve!!!,fraud_report,,
477,The latest transaction??an I get the vendor details?,transaction_query,,
478,am i qlified 4 grad school loan?,loan_inquiry,,
479,"yo, forgot my pass, can u help reset?",password_reset,,
480,Could you inform me whether pay stubs or bank statements are necessary?,credi_card_application,,
481,"Yo, did the last thing actually work tho?",transaction_query,,
482,Can you give me the timestamp for my last transaction?,transaction_query,,
483,Could you tell me if the loan committee has reviewed my application?,loan_inquiry,,
484,"where my loan app at, any news?",loan_inquiry,,
485,I need to reset my password due to a system error.,password_reset,,
486,I would appreciate your support in understanding the credit card application requirements.,credi_card_application,,
487,do i strike loan eligibility?,loan_inquiry,,
488,What is your process for loan modification or refinancing?,loan_inquiry,,
489,recent transction? internal screaming,transaction_query,,
490,Scam alert! Gimme my cash rn.,fraud_report,,
491,Could you explain the steps for joint loan applications?,loan_inquiry,,
492,unathorized purshase here,fraud_report,,
493,I?? seconds from a meltdown??AVINGS BALANCE NOW!,balance_inquiry,,
494,yo someone stole my checkbook??hey??e writin fake checks!!,fraud_report,,
495,I am unable to log in and require a password reset.,password_reset,,
496,I?? like to compare your credit facilities for small businesses.,loan_inquiry,,
497,What budget planning tools accompany your lending services?,loan_inquiry,,
498,"wanna install ??ecurity patch,??feels bogus",fraud_report,,
499,did my card decline? what?? the prob,transaction_query,,
500,Do you have any news on my loan application?,loan_inquiry,,
501,can i get a new cred card? wut?? the process?,credi_card_application,,
502,am i eligble 4 a loan?,loan_inquiry,,
503,What was the exact date of the last transaction I made?,transaction_query,,
504,What is your turnaround time for loan approval?,loan_inquiry,,
505,last payment info pls i?? stressed,transaction_query,,
506,What?? the company tied to my last transaction?,transaction_query,,
507,what credit plans do u offer?,loan_inquiry,,
508,May I inquire if I satisfy the requirements for a capex financing solution?,loan_inquiry,,
509,Did the last transaction proceed smoothly?,transaction_query,,
510,Please advise on the eligibility criteria for obtaining a credit card.,credi_card_application,,
511,"When was the last time I made a transaction, you know?",transaction_query,,
512,"I?? so mad rn, someone is clearly using my info.",fraud_report,,
513,How do I jump into a loan apply?,loan_inquiry,,
514,What is the outstanding amount in my savings account?,balance_inquiry,,
515,followin up on my cc application,credi_card_application,,
